Naam;Type;Adres;Postcode;Telefoon;website;aanmelden;Leeftijd;Specialisatie;;
Arkin Jeugd & Gezin;Hoogspecialistische Jeugdhulp (HSJH);Baarsjesweg 224; 1058 AA Amsterdam;020 590 55 55;https://www.arkin.nl;https://www.arkin.nl/aanmelden;0-23 jaar;Gezinstherapie, eetstoornissen, complexe problematiek;Arkin Amsterdam West;
Arkin Jeugd & Gezin;Hoogspecialistische Jeugdhulp (HSJH);Wisselwerking 46-48; 1112 XR Diemen;020 590 55 55;https://www.arkin.nl;https://www.arkin.nl/aanmelden;0-23 jaar;Gezinstherapie, eetstoornissen, complexe problematiek;Arkin Diemen;
Arkin Jeugd & Gezin;Hoogspecialistische Jeugdhulp (HSJH);Klaprozenweg 111; 1033 NN Amsterdam;020 590 55 55;https://www.arkin.nl;https://www.arkin.nl/aanmelden;0-23 jaar;Gezinstherapie, eetstoornissen, complexe problematiek;Arkin Amsterdam Noord;
Arkin Jeugd & Gezin;Hoogspecialistische Jeugdhulp (HSJH);Bijlmerdreef 1169; 1103 TT Amsterdam Zuidoost;020 590 55 55;https://www.arkin.nl;https://www.arkin.nl/aanmelden;0-23 jaar;Gezinstherapie, eetstoornissen, complexe problematiek;Arkin Amsterdam Zuidoost;
Boomerang Zorg Jeugdhulp;Hoogspecialistische Jeugdhulp (HSJH);Tijnmuiden 34; 1046AL Amsterdam;020 358 67 39;https://www.boomerangzorg.nl;https://www.boomerangzorg.nl/aanmelden;0-23 jaar;Jeugdhulp, gezinsbehandeling, samenwerking Boomerang Zorg en Multi Plus Zorg;;
CareHouse;Enkelvoudige Specialistische Jeugdhulp (ESJH);Van Hallstraat 10; 1051 HH Amsterdam;088-1232660;https://www.carehouse.nl;https://www.carehouse.nl/aanmelden;0-23 jaar;Ontwikkelingsbeperkingen, autisme, ADHD, verstandelijke beperking;CareHouse Amsterdam Centrum;
CareHouse;Enkelvoudige Specialistische Jeugdhulp (ESJH);Johan Cruijff Boulevard 83; 1101 DM Amsterdam;088-1232660;https://www.carehouse.nl;https://www.carehouse.nl/aanmelden;0-23 jaar;Ontwikkelingsbeperkingen, autisme, ADHD, verstandelijke beperking;CareHouse Amsterdam Nieuw-West;
CareHouse;Enkelvoudige Specialistische Jeugdhulp (ESJH);Strekkerweg 77; 1033 DA Amsterdam;088-1232660;https://www.carehouse.nl;https://www.carehouse.nl/aanmelden;0-23 jaar;Ontwikkelingsbeperkingen, autisme, ADHD, verstandelijke beperking;CareHouse Amsterdam Noord;
CareHouse;Enkelvoudige Specialistische Jeugdhulp (ESJH);Franz Zieglerstraat 76; 1087 HN Amsterdam;088-1232660;https://www.carehouse.nl;https://www.carehouse.nl/aanmelden;0-23 jaar;Ontwikkelingsbeperkingen, autisme, ADHD, verstandelijke beperking;CareHouse Amsterdam IJburg;
CareHouse;Enkelvoudige Specialistische Jeugdhulp (ESJH);President Brandstraat 32; 1091 XH Amsterdam;088-1232660;https://www.carehouse.nl;https://www.carehouse.nl/aanmelden;0-23 jaar;Ontwikkelingsbeperkingen, autisme, ADHD, verstandelijke beperking;CareHouse Amsterdam Oost;
CareHouse;Enkelvoudige Specialistische Jeugdhulp (ESJH);Baarsjesweg 224; 1058 AA Amsterdam;088-1232660;https://www.carehouse.nl;https://www.carehouse.nl/aanmelden;0-23 jaar;Ontwikkelingsbeperkingen, autisme, ADHD, verstandelijke beperking;CareHouse Amsterdam West;
CareHouse;Enkelvoudige Specialistische Jeugdhulp (ESJH);Admiraal de Ruijterweg 454; 1055 NG Amsterdam;088-1232660;https://www.carehouse.nl;https://www.carehouse.nl/aanmelden;0-23 jaar;Ontwikkelingsbeperkingen, autisme, ADHD, verstandelijke beperking;CareHouse Amsterdam Zuid;
CareHouse;Enkelvoudige Specialistische Jeugdhulp (ESJH);Bijlmerdreef 1169; 1103 TT Amsterdam;088-1232660;https://www.carehouse.nl;https://www.carehouse.nl/aanmelden;0-23 jaar;Ontwikkelingsbeperkingen, autisme, ADHD, verstandelijke beperking;CareHouse Amsterdam Zuidoost;
Cordaan;Hoogspecialistische Jeugdhulp (HSJH);De Ruijterkade 7;1013 AA Amsterdam;(020) 630 62 62;https://www.cordaan.nl/jeugd/;https://www.cordaan.nl/jeugd/;0-23 jaar;Jeugd GGZ, verstandelijke beperking, ontwikkelingsproblematiek, complexe problematiek;;
De Opgroeipraktijk;Enkelvoudige Specialistische Jeugdhulp (ESJH);Strekkerweg 77; 1033 DA Amsterdam;088-1232680;https://www.deopgroeipraktijk.nl;https://www.deopgroeipraktijk.nl/aanmelden;0-23 jaar;Jeugd GGZ, opvoedondersteuning, gezinsbehandeling;De Opgroeipraktijk Amsterdam Noord;
De Opgroeipraktijk;Enkelvoudige Specialistische Jeugdhulp (ESJH);Franz Zieglerstraat 76; 1087 HN Amsterdam;088-1232680;https://www.deopgroeipraktijk.nl;https://www.deopgroeipraktijk.nl/aanmelden;0-23 jaar;Jeugd GGZ, opvoedondersteuning, gezinsbehandeling;De Opgroeipraktijk Amsterdam IJburg;
De Opgroeipraktijk;Enkelvoudige Specialistische Jeugdhulp (ESJH);Osdorpplein 470; 1068 SZ Amsterdam;088-1232680;https://www.deopgroeipraktijk.nl;https://www.deopgroeipraktijk.nl/aanmelden;0-23 jaar;Jeugd GGZ, opvoedondersteuning, gezinsbehandeling;De Opgroeipraktijk Amsterdam Nieuw West;
De Opgroeipraktijk;Enkelvoudige Specialistische Jeugdhulp (ESJH);President Brandstraat 32; 1091 XH Amsterdam;088-1232680;https://www.deopgroeipraktijk.nl;https://www.deopgroeipraktijk.nl/aanmelden;0-23 jaar;Jeugd GGZ, opvoedondersteuning, gezinsbehandeling;De Opgroeipraktijk Amsterdam Oost;
De Opgroeipraktijk;Enkelvoudige Specialistische Jeugdhulp (ESJH);Van Hallstraat 10; 1051 HH Amsterdam;088-1232680;https://www.deopgroeipraktijk.nl;https://www.deopgroeipraktijk.nl/aanmelden;0-23 jaar;Jeugd GGZ, opvoedondersteuning, gezinsbehandeling;De Opgroeipraktijk Amsterdam West;
FamilySupporters;Enkelvoudige Specialistische Jeugdhulp (ESJH);Burgemeester Eliasstraat 1; 1055 NA Amsterdam;085-0250099;https://familysupporters.nl;https://familysupporters.nl/aanmelden;0-23 jaar;Opvoedondersteuning, gezinsbehandeling, jeugdhulp;FamilySupporters Amsterdam;
FamilySupporters;Enkelvoudige Specialistische Jeugdhulp (ESJH);Veenplaats 19; 1182 JW Amstelveen;085-0250099;https://familysupporters.nl;https://familysupporters.nl/aanmelden;0-23 jaar;Opvoedondersteuning, gezinsbehandeling, jeugdhulp;FamilySupporters Amstelveen;
Fibbe;Enkelvoudige Specialistische Jeugdhulp (ESJH);Johan Cruijff Boulevard 83; 1101DM Amsterdam;06-23744058;https://fibbescl.nl;https://fibbescl.nl/aanmelden;0-23 jaar;Jeugd GGZ, gezinstherapie, traumabehandeling;;
Groei&glunder;Enkelvoudige Specialistische Jeugdhulp (ESJH);Houtmankade 334-2; 1013 RR Amsterdam;020-2615085;https://www.groeienglunder.nl;https://groeienglunder.nl/59-2/;0-23 jaar;Jeugdhulp, ontwikkelingsstimulering, gedragsondersteuning;;
iHUB Care Express;Hoogspecialistische Jeugdhulp (HSJH);Nassaukade 162H;1053 LL Amsterdam;020 555 83 00;https://ihub.nl;https://www.ihub.nl/aanmelden;0-23 jaar;Jeugd GGZ, autisme, ADHD, gedragsproblemen, familiezorg, meervoudige complexe problematiek;;
iHUB Familiezorg;Hoogspecialistische Jeugdhulp (HSJH);Strekkerweg 77; 1033 DA Amsterdam;020 555 83 00;https://www.ihub.nl;https://www.ihub.nl/aanmelden;0-23 jaar;Gezinstherapie, systeemtherapie, complexe problematiek;iHUB Amsterdam-Noord;
iHUB Familiezorg;Hoogspecialistische Jeugdhulp (HSJH);President Brandstraat 32; 1091 XH Amsterdam;020 555 83 00;https://www.ihub.nl;https://www.ihub.nl/aanmelden;0-23 jaar;Gezinstherapie, systeemtherapie, complexe problematiek;iHUB Amsterdam-Oost;
iHUB Familiezorg;Hoogspecialistische Jeugdhulp (HSJH);Van Hallstraat 10; 1051 HH Amsterdam;020 555 83 00;https://www.ihub.nl;https://www.ihub.nl/aanmelden;0-23 jaar;Gezinstherapie, systeemtherapie, complexe problematiek;iHUB Amsterdam-West;
iHUB Familiezorg;Hoogspecialistische Jeugdhulp (HSJH);Bijlmerdreef 1169; 1103 TT Amsterdam;020 555 83 00;https://www.ihub.nl;https://www.ihub.nl/aanmelden;0-23 jaar;Gezinstherapie, systeemtherapie, complexe problematiek;iHUB Amsterdam-Zuidoost;
iHUB Familiezorg;Hoogspecialistische Jeugdhulp (HSJH);Veenplaats 19; 1182 JW Amstelveen;020 555 83 00;https://www.ihub.nl;https://www.ihub.nl/aanmelden;0-23 jaar;Gezinstherapie, systeemtherapie, complexe problematiek;iHUB Amstelveen (Amstelland);
Invivo Kids;Enkelvoudige Specialistische Jeugdhulp (ESJH);Veenplaats 19; 1182JW Amstelveen;020-7670069;https://www.invivokids.nl/;https://www.invivokids.nl/voor-u/voor-verwijzers/;0-18 jaar;Jeugd GGZ, ontwikkelingsproblematiek, gedragsproblemen;;
Leger des Heils;Hoogspecialistische Jeugdhulp (HSJH);Hilversumstraat 338; 1024MB Amsterdam;020 6301111;https://www.legerdesheils.nl/;https://www.legerdesheils.nl/zorglocaties;0-23 jaar;Jeugdzorg, maatschappelijke ondersteuning, complexe problematiek;;
Leveo;Hoogspecialistische Jeugdhulp (HSJH);Burgemeester Eliasstraat 1; 1055 NA Amsterdam;088-1232660;https://www.leveo.nl;https://www.leveo.nl/aanmelden;0-23 jaar;Jeugd GGZ, complexe problematiek, gezinsbehandeling, systeemtherapie ;;
Levvel;Hoogspecialistische Jeugdhulp (HSJH);Fred. Roeskestraat 73; 1076 EC Amsterdam;088-0547001;https://www.levvel.nl;https://www.levvel.nl/formulier/jongere-aanmelden;0-23 jaar;TOPggz: DAT (Dwang, angst en tics), trauma en gezin, complexe gedragsstoornissen en forensische jeugdpsychiatrie;;
OKT Amsterdam;Ouder- en Kindteams (OKT);Burgemeester Eliasstraat 1; 1055 NA Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Centrum;
OKT Amsterdam;Ouder- en Kindteams (OKT);Bijlmerdreef 1001-A; 1103 TW Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Zuidoost;
OKT Amsterdam;Ouder- en Kindteams (OKT);Baarsjesweg 224; 1058 AA Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT West;
OKT Amsterdam;Ouder- en Kindteams (OKT);Eerste Oosterparkstraat 88; 1091 GZ Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Oost;
OKT Amsterdam;Ouder- en Kindteams (OKT);Hilversumstraat 338; 1024MB Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Noord;
OKT Amsterdam;Ouder- en Kindteams (OKT);Johan Cruijff Boulevard 83; 1101DM Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Nieuw-West;
OKT Amsterdam;Ouder- en Kindteams (OKT);Modemstraat 20C; 1033 RW Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Noord-Oost;
OKT Amsterdam;Ouder- en Kindteams (OKT);Admiraal de Ruijterweg 454; 1055NG Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Zuid;
OKT Amsterdam;Ouder- en Kindteams (OKT);Houtmankade 334-2; 1013 RR Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Zuid-Oost;
OKT Amsterdam;Ouder- en Kindteams (OKT);Van Hallstraat 10; 1051HH Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Westpoort;
OKT Amsterdam;Ouder- en Kindteams (OKT);Overschiestraat 57; 1062HN Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Zuid-West;
OKT Amsterdam;Ouder- en Kindteams (OKT);Veenplaats 19; 1182JW Amstelveen;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Amstelveen;
OKT Amsterdam;Ouder- en Kindteams (OKT);Doctor Willem Dreesweg 2; 1185 VB Amstelveen;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Amstelveen-Zuid;
OKT Amsterdam;Ouder- en Kindteams (OKT);Burgemeester Eliasstraat 1; 1055 NA Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Centrum-Oost;
OKT Amsterdam;Ouder- en Kindteams (OKT);Bijlmerdreef 1001-A; 1103 TW Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Zuidoost-Zuid;
OKT Amsterdam;Ouder- en Kindteams (OKT);Baarsjesweg 224; 1058 AA Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT West-Noord;
OKT Amsterdam;Ouder- en Kindteams (OKT);Eerste Oosterparkstraat 88; 1091 GZ Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Oost-Noord;
OKT Amsterdam;Ouder- en Kindteams (OKT);Hilversumstraat 338; 1024MB Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Noord-West;
OKT Amsterdam;Ouder- en Kindteams (OKT);Johan Cruijff Boulevard 83; 1101DM Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Nieuw-West-Zuid;
OKT Amsterdam;Ouder- en Kindteams (OKT);Modemstraat 20C; 1033 RW Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Noord-Oost-Zuid;
OKT Amsterdam;Ouder- en Kindteams (OKT);Admiraal de Ruijterweg 454; 1055NG Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Zuid-Oost;
OKT Amsterdam;Ouder- en Kindteams (OKT);Houtmankade 334-2; 1013 RR Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Zuid-Oost-Noord;
OKT Amsterdam;Ouder- en Kindteams (OKT);Van Hallstraat 10; 1051HH Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Westpoort-Zuid;
OKT Amsterdam;Ouder- en Kindteams (OKT);Overschiestraat 57; 1062HN Amsterdam;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Zuid-West-Noord;
OKT Amsterdam;Ouder- en Kindteams (OKT);Veenplaats 19; 1182JW Amstelveen;020-5555961;https://oktamsterdam.nl;https://oktamsterdam.nl/contact/;0-23 jaar;Opvoedondersteuning, jeugdhulp, preventieve zorg;OKT Amstelveen-Noord;
